	age	createDays	event_count	fan_count	follow_count	gender	level	listening_songs_num	location	playlistCount	userId	user_description
0	unknown	787	1	1	7	2	6	727	3	7	420887615	每天练琴5小时的云迪，遥不可及......
1	unknown	22	0	1	1	1	3	183	4	2	1800398645	
2	unknown	22	0	1	1	1	3	183	4	2	1800398645	
3	unknown	604	2	5	1	1	8	3217	4	5	568218401	
4	unknown	579	2	3	3	2	6	773	1	7	318682366	
5	19	825	1	2	3	1	7	1678	1	3	395964505	西南battle king
6	unknown	675	0	4	4	2	6	682	2	2	501179319	
7	18	798	2	3	1	2	7	1391	3	2	413830444	
8	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
9	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
10	unknown	17998	3	1	1	1	8	5307	1	15	39976833	
11	unknown	457	1	1	7	1	6	1009	1	4	1315352910	遇见你是偶然不经意间的惊喜
12	30	1	0	1	3	0	0	0	3	1	1821844233	才知你去了个地方叫永远，你可否代我发表退役宣言
13	unknown	993	2	1	9	1	7	1565	6	7	308813553	抬头是精神，蹭屄是牺牲😌
14	unknown	1105	3	6	2	2	7	1697	5	7	261603504	己所不欲勿施于人
15	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
16	unknown	120	0	0	4	2	5	254	6	7	1703382394	
17	unknown	547	3	6	3	1	7	2475	6	2	616929917	一事无成，只剩遗憾
18	19	568	0	6	3	1	8	6070	5	11	597738076	
19	unknown	591	1	1	1	2	8	5792	0	21	568980957	大家都好热爱生活 是装的吗？💉
20	unknown	890	0	1	1	1	7	1042	4	6	356267853	
21	-3	690	2	4	1	2	7	2165	1	19	491236042	生生不息。
22	18	282	0	4	5	1	7	1723	4	12	1509479582	这个人想要本硕博走一波。
23	unknown	890	0	1	1	1	7	1042	4	6	356267853	
24	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
25	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
26	unknown	846	0	3	4	1	4	177	3	3	380272179	薇heibai88588
27	unknown	453	0	2	5	0	5	340	3	4	1341316522	
28	unknown	614	0	3	1	0	7	1464	1	7	560059877	
29	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
30	unknown	366	4	2	3	1	5	272	0	4	1426380850	有些事，不管是输还是赢，我们都必须去做。
31	unknown	874	0	2	3	1	6	652	6	5	364755039	
32	unknown	955	0	5	0	2	7	2637	0	7	322467121	Doctor
33	0	6	0	5	3	0	1	226	4	2	1816955658	
34	19	299	0	2	6	2	5	356	6	3	1490917928	
35	unknown	51	0	2	4	2	0	8	1	1	1769915076	
36	48	496	0	5	3	1	6	873	5	2	1301960832	
37	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
38	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
39	unknown	934	1	5	8	0	6	980	3	7	129362706	
40	unknown	14	0	1	3	1	0	1	2	1	1808875483	
41	unknown	5	0	1	2	1	0	9	1	2	1818651829	
42	19	1160	2	1	3	1	7	1296	3	15	132433142	
43	20	667	8	6	5	1	7	2063	1	9	507793255	中考备战,十年磨一剑,至少应该做一回自己的英雄。
44	16	643	1	2	7	1	8	5920	4	12	536409980	绿
45	unknown	193	0	2	1	0	5	366	2	3	1620034133	
46	19	954	2	2	6	2	9	8983	3	14	326665271	身体和灵魂总有一个在路上，出走的目的，只是想找回那个迷失的自己。
47	unknown	250	0	2	4	1	0	7	3	2	1543850131	
48	unknown	725	0	2	1	2	7	1860	4	13	468944832	
49	unknown	103	0	2	4	2	2	65	1	1	1720357556	
